trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-225.4345711147159,"{0: 17, 1: 3, 2: 3, 3: 4, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,8,-42.04739098108798,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-251.0953569919851,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,1,-75.72314730987874,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,9,-133.42399262517276,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-100.52812552340082,"{0: 20, 1: 7, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-114.18416142849347,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-21.559803492212247,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-80.17157496181116,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,1,-57.61093490537869,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,17,-6.856803877826222,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-42.399716778211705,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-10.987549767094526,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,4.53783815172914,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,14,-1.7111637325592433,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,8.79116075722915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,15,22.0543607015237,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,21.642574449204556,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,27.749110661732978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,20.14860543272905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,19,20.310431358574956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,13.027028736465088,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,4,2.8922647103558354,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,16,8.060301870817899,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,19,11.88461459003491,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",35,0,26.6107623915777,"{0: 32, 1: 3, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,22,24.154078988180473,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,14,18.704472497154118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,13,13.544651856861433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,26.144174285550857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,14,10.787791461735377,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,12,24.86091295048116,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,19,10.302902386811876,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,15,10.657663260207482,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",30,23,4.897258692503854,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",25,0,24.951896373285162,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",20,10,16.1053918427086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",35,0,47.16737597295937,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,3,25.307251791149593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,16,17.74605445522657,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",30,12,27.7595015548167,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",35,9,34.1260406216081,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,8,19.704015043506622,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",30,16,24.957528147111912,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,2,37.45879412321236,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,3,37.71192176026849,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,5,22.736662366997635,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,0,10.060749476578518,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,17,12.417471211117418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,11,23.742196138890993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
