trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99899, 'a': 0.99899}",20,0,-193.19574169731558,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,False,"{'e': 0.9979699000000001, 'a': 0.9979699000000001}",20,0,-65.98041221509293,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'e': 0.9969395990000001, 'a': 0.9969395990000001}",35,22,-67.91560490120433,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,False,"{'e': 0.9958989949900001, 'a': 0.9958989949900001}",20,0,-130.04515121053458,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,False,"{'e': 0.9948479849399001, 'a': 0.9948479849399001}",25,0,-94.5389089405275,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'e': 0.9937864647892991, 'a': 0.9937864647892991}",35,0,-150.2824904096434,"{0: 16, 1: 13, 2: 4, 3: 1, 4: 1}",0
7,False,"{'e': 0.9927143294371921, 'a': 0.9927143294371921}",25,0,-147.45401977066436,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'e': 0.9916314727315639, 'a': 0.9916314727315639}",25,0,-112.0093743097022,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
9,False,"{'e': 0.9905377874588795, 'a': 0.9905377874588795}",20,0,-219.56089478492237,"{0: 7, 1: 5, 2: 2, 3: 3, 4: 3}",0
10,False,"{'e': 0.9894331653334684, 'a': 0.9894331653334684}",20,0,-185.3058502134713,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
11,False,"{'e': 0.988317496986803, 'a': 0.988317496986803}",30,0,-137.4709609673554,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
12,False,"{'e': 0.9871906719566711, 'a': 0.9871906719566711}",20,0,-106.66112081668389,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
13,False,"{'e': 0.9860525786762379, 'a': 0.9860525786762379}",20,0,-64.20592598830812,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'e': 0.9849031044630002, 'a': 0.9849031044630002}",20,0,-131.24104883415478,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
15,False,"{'e': 0.9837421355076302, 'a': 0.9837421355076302}",20,0,-84.26509690244171,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
