trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.75746395005882,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.53413489052767,"{0: 10, 1: 5, 2: 6, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.28954059935046,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,10,-167.85665067645516,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 3}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.18632324477642,"{0: 15, 1: 8, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-208.96938159173303,"{0: 16, 1: 6, 2: 10, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.15546880663153,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.59589802200625,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.20288787368142,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.09006150790208,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.58766701701428,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.63769006073636,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-253.13160430600126,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.94451931565955,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.707471780157455,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.078669280857355,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.59676671604433,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.74327582861147,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.96340417116437,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.19133263766528,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.05001772369744,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.14839809823764,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-143.2959302679779,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.82124117095414,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.91637778716319,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.0298046372304,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-163.11054932278438,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.85848208841135,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.26668278094208,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.98178879073154,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
